leite em pó,2346546,450,Pará,22/02/07,4.99,Péssima Qualidade,Italac,Amazon,4654654,200
feijão,21654654,600,São Paulo,22/09/22,6.99,Ótima Qualidade,Mineiro,Mercado Livre,798465,100
ovos de galinha,2351248,500,Paraná,25/08/22,20.0,Boa Qualidade,Ovos Rei,Preço Menor,746545,126
arroz,6247514,5000,Goiás,26/10/22,9.99,Ótima Qualidade,Mineiro,Preço Menor,5467867,100
farinha,5678424,250,Pernambuco,31/12/22,12.95,Ótima Qualidade,Italac,Preço Médio,568745,80
queijo,5464654,260,Minas Gerais,31/07/22,13.45,Boa Qualidade,Mineiro,Mercado Esquina,6546546,60
salsicha,6545646,500,Bahia,22/09/22,15.84,Boa Qualidade,Mineiro,Mercado Esquina,546556,268
linguiça,34654454,650,Rio Grande do Sul,31/12/22,23.87,Boa Qualidade,Mineiro,Mercado Esquina,5454425,268
picanha,18874524,350,Rio Grande do Sul,26/08/22,43.98,Boa Qualidade,Mineiro,Mercado Esquina,674653,658
leite condensado,43535645,820,Minas Gerais,31/07/22,4.99,Boa Qualidade,Mineiro,Mercado Esquina,4574435,654
